Id,Title,Abstract,Prerequisites,Level,Year,PresentationUrl,CodeUrl,StartTime,Track_Id,Track_Id1,Speaker_Id,Category,Audience,SurveyUrl,SpeakerDeckUrl,SpeakerRateUrl,Timestamp,Room
2596,Be a better coder,So we have all worked at a place where we had to work with this one really awesome developer. Not only did they know the system front to back but they also managed to know everything there is to know about coding it. I am going to share some of my personal inspirations on how to be a better coder. Some code productivity rules I have come up with over the years. We will end with some interview tips for developers.,None,100,2013,https://docs.google.com/file/d/0B49IIG8Xs-THZ0hyNFlDZloxZDA/edit?usp=sharing,,2:40pm,,1657,3173,Career Advancement,,https://www.surveymonkey.com/s/ATLCC20131084,,http://speakerrate.com/talks/25401-be-a-better-coder,1/1/1900 0:00,
2597,Build Windows Store Apps using Javascript,"You can build Windows Store apps using JavaScript and reuse your skills, exiting code, and even popular frameworks. But should you? How is an app different from a website? How do you get popular JS frameworks to work without crashing your app? In this session, we will answer these questions and also share some best tips and pragmatic advice for building Windows Store apps using JavaScript.",,200,2013,,,3:50pm,,1659,3144,Windows Development,Developer,https://www.surveymonkey.com/s/ATLCC2013201L5,,,1/1/1900 0:00,
2598,Building Composite XAML Applications with Prism,"In this session you will learn how to design and build Windows Phone, Silverlight, and Windows Presentation Foundation (WPF) desktop applications using loosely coupled components that can evolve independently but which can be easily and seamlessly integrated into the overall application. This session concentrates on the basic concepts required to build a composite application with the Microsoft Patterns and Practices Prism framework which includes the bootstrapper, regions, modules, view composition, and different techniques for communicating between loosely couple components.  Various development patterns and technologies will also be discussed including Inversion of Control (IoC), Dependency Injection (DI), Unity, MEF (Managed Extensibility Framework), commanding, event aggregation, and MVVM (Model-View-ViewModel).""",,300,2013,http://brianlagunas.com/atlanta-code-camp-2013-sample-code/,,11:20am,,1659,3118,Windows Development,Developer,https://www.surveymonkey.com/s/ATLCC2013201L2,,,1/1/1900 0:00,
2599,JavaScript for ASP.NET Programmers,"You?ve built ASP.NET sites and have a skill set in the Microsoft technology .NET Stack. But, let?s face it, .NET developers need to know how to create HTML5 JavaScript clients as this is now the norm. The reason? It is simple; your company will lose money if your applications and sites don?t work across devices. This session will help you map your skills in C# and ASP.NET to JavaScript, use AJAX over HTTP to send and receive data, and interact with popular browser components for data binding and UI widgets.",,100,2013,,,3:50pm,,1662,3157,General Discussion,Developer,https://www.surveymonkey.com/s/ATLCC20131585,,,1/1/1900 0:00,
2600,A Line of Code,"""How to make your world a better place a line of code at a time"". <br/>Most people want to help, but have a very difficult time finding worthwhile projects and following through. Mark Rowe, the augmented developer  http://AugmentedDeveloper.com has been identifying new technologies and matching them to needs for almost 2 years. <br/> <br/>Mark will go over some of the newer technologies and shows where just a little effort and experimentation can change the world for the better. <br/> <br/>He will compare some medical devices, for the blind, deaf and disabled to what can be done today or pennies on the dollar. Along with some demo?s and a look into the Leap SDK, Kinect, and Camera Capture technologies. <br/> <br/>If you were wondering, what can I do as a developer to help out mankind, come on for some good inspiration. <br/>",,100,2013,,,2:40pm,,1659,3143,,Gadgeteer (MS designation),,,,1/1/1900 0:00,
3594,Google cloud endpoints,"The cloud is becoming more and more important for every developer today. For those interested in building apps that ca work on multiple devices with minimum amount of work for the backend. Cloud endpoints technology is just the right thing to do. The talk will be focused on endpoint architecture benefits and how it lowers development cost, time and effort.<br/>The session will include a demonstration of cloud endpoint through google cloud platform; an android application loads youtube videos from a particular account and renders them on a player on android.",,100,2014,,,1:30pm,,2058,4536,Mobile Development,,,,,1/1/1900 0:00,
3595,Getting pushy with SignalR and Reactive Extensions,"SignalR facilitates push notifications over HTTP to a variety of clients. The Reactive Extensions were designed to allow for asynchronous LINQ over push based collections. In this talk, you?ll see how the synergy of these two technologies merge to make otherwise difficult tasks, a push over.",,100,2014,,,2:40pm,,2058,4545,Development,,,,,1/1/1900 0:00,
3596,Hypermedia's secret sauce is in the client,"Have you built a hypermedia API, or thinking about it and still puzzled as to what all the hype is about?  You see some incremental benefits, some extra work, but nothing game changing.<br/><br/>People like to throw around the HATEOAS acronym and talk about state machines defining your application.  But what does that actually mean.  How does that help?<br/><br/>The difference lies in writing a client that is driven by the hypermedia API rather thanÿsimply using the hypermedia API. ÿThis talk will showÿcode examples that demonstrate how to build mobile and desktop client applications that are simpler, easier to support on multiple platforms, more maintainable and require updating less often.ÿ",,300,2014,,,3:50pm,,2058,4530,Mobile Development,,,,,1/1/1900 0:00,
3597,Keep Code Left: Guide to writing better code in almost any language,"Mick claims that 50% of all ""else"" statements are not needed, and are harmful to your code's readability, reliability and maintainability.<br/>Come hear and see some simple guidelines that can help coders in almost any language that has if-then-else and loop-continue statements write better code, and perform rule-driven code reviews at a glance with no software tools needed.  Come learn what a ""filter"" is, and where they should be coded.<br/><br/>We will work through examples of refactoring ""bad"" code during the talk, and this will no doubt lead to some interesting discussions.<br/><br/>Come see if you can experience all the classic stages of change in a single hour: Denial (this is stupid), followed by Anger (this is still stupid and he's not stopping!), then Bargaining (but my professor told me to do it like this), then Depression (about code you have written in the past), and hopefully, Acceptance (wow, this makes sense).",,100,2014,,,10:10am,,2060,4556,General Discussion,,,,,1/1/1900 0:00,
3598,Consulting vs. Industry?,"There are distinct differences between a career and Consulting versus a career in Industry.    In this presentation, I will describe both, the differences between the two and how to know what is better for you.    The talk will be neutral and intended to ensure the talent pool knows their option and the longer term career impacts of their decisions.    I will talk about what Recruiters looks for in resume's across both areas and how to best position yourself for either option.<br/><br/>The goal of the talk will be ensure the attendees know they have great options, make intentional career decisions that set them up for long term success.",,100,2014,,,11:20am,,2060,4558,Career Advancement,,,,,1/1/1900 0:00,
